 Date,Time,From,Time,To,Fare,Credit,Balance
 03/Feb/2023,10:34 AM,Darra station ,10:51 AM,Indooroopilly station ,$3.47,,$14.01
 03/Feb/2023,11:12 AM,Lambert Road - 35 (Touch on Transfer),11:27 AM,Uni of Qld Arrival Stop ,$0.00,,$14.01
 03/Feb/2023,15:41 PM,UQ Chancellors Place - Stop D ,15:59 PM,'Cribb Street' Coronation Drive ,$3.55,,$10.46
 03/Feb/2023,18:46 PM,Milton station ,19:17 PM,Darra station ,$4.34,,$6.12
 06/Feb/2023,7:35 AM,Darra station ,7:47 AM,Indooroopilly station ,$4.34,,$1.78
 06/Feb/2023,7:52 AM,Auto top up(Lambert Road - 35 ),,,,$20.00,$21.78
 06/Feb/2023,7:52 AM,Lambert Road - 35 (Touch on Transfer),8:06 AM,Uni of Qld Arrival Stop ,$0.00,,$21.78
 06/Feb/2023,16:29 PM,UQ Chancellors Place - Stop A ,16:46 PM,Clarence Road - 36 ,$3.55,,$18.23
 06/Feb/2023,16:49 PM,Indooroopilly station (Touch on Transfer),17:02 PM,Oxley station ,$0.79,,$17.44
 06/Feb/2023,17:11 PM,Oxley station (Touch on Transfer),17:12 PM,Oxley station (Cancel touch on),$0.00,,$17.44
 27/Mar/2023,12:03 PM,Darra station ,12:21 PM,Indooroopilly station ,$3.47,,$13.97
 27/Mar/2023,14:24 PM,UQ Chancellors Place - Stop D ,14:32 PM,'Toowong' Benson St ,$2.84,,$11.13
 27/Mar/2023,15:23 PM,Toowong station (Touch on Transfer),15:51 PM,Darra station ,$0.63,,$10.50
 17/May/2023,15:49 PM,Darra station ,16:22 PM,Central station ,$4.34,,$6.16
 17/May/2023,20:25 PM,Central station ,20:34 PM,Milton station ,$2.84,,$3.32
 17/May/2023,21:11 PM,Auto top up(Milton station ),,,,$20.00,$23.32
 17/May/2023,21:11 PM,Milton station (Touch on Transfer),21:33 PM,Sherwood station ,$0.63,,$22.69
 19/May/2023,11:40 AM,Lambert Road - 35 ,11:54 AM,Uni of Qld Arrival Stop ,$2.84,,$19.85
 19/May/2023,17:02 PM,Indooroopilly station ,17:12 PM,Darra station ,$4.34,,$15.51
 07/Jun/2023,16:55 PM,UQ Chancellors Place - Stop A ,17:11 PM,Clarence Road - 36 ,$3.55,,$11.96
 07/Jun/2023,17:15 PM,Indooroopilly station (Touch on Transfer),17:29 PM,Darra station ,$0.79,,$11.17
 08/Jun/2023,8:02 AM,Darra station ,8:17 AM,Indooroopilly station ,$4.34,,$6.83
 08/Jun/2023,8:24 AM,Lambert Road - 35 (Touch on Transfer),8:36 AM,Uni of Qld Arrival Stop ,$0.00,,$6.83
 08/Jun/2023,16:53 PM,UQ Chancellors Place - Stop A ,17:08 PM,Clarence Road - 36 ,$3.55,,$3.28
 08/Jun/2023,17:16 PM,Auto top up(Indooroopilly station ),,,,$20.00,$23.28
 08/Jun/2023,17:16 PM,Indooroopilly station (Touch on Transfer),17:38 PM,Darra station ,$0.79,,$22.49
 09/Jun/2023,10:44 AM,Darra station ,11:06 AM,Indooroopilly station ,$3.47,,$19.02
 09/Jun/2023,11:11 AM,Lambert Road - 35 (Touch on Transfer),11:22 AM,Uni of Qld Arrival Stop ,$0.00,,$19.02
 09/Jun/2023,16:44 PM,UQ Chancellors Place - Stop A ,16:58 PM,Clarence Road - 36 ,$3.55,,$15.47
 09/Jun/2023,17:01 PM,Indooroopilly station (Touch on Transfer),17:11 PM,Darra station ,$0.79,,$14.68
 12/Jun/2023,9:05 AM,Darra station ,9:21 AM,Indooroopilly station ,$3.47,,$11.21
 12/Jun/2023,9:24 AM,Lambert Road - 35 (Touch on Transfer),9:38 AM,Uni of Qld Arrival Stop ,$0.00,,$11.21
 12/Jun/2023,12:53 PM,Toowong station ,13:17 PM,Darra station ,$3.47,,$7.74
 18/Jun/2023,10:03 AM,Mowbray Park ferry terminal ,10:05 AM,Sydney Street ferry terminal ,$2.84,,$4.90
 18/Jun/2023,12:45 PM,Auto top up(New Farm Park ferry terminal ),,,,$20.00,$24.90
 18/Jun/2023,12:45 PM,New Farm Park ferry terminal ,12:48 PM,Mowbray Park ferry terminal ,$2.84,,$22.06
 23/Jun/2023,7:24 AM,Darra station ,9:09 AM,Helensvale station ,$11.46,,$10.60
 23/Jun/2023,9:10 AM,Helensvale station (Touch on Transfer),9:26 AM,Griffith University station (Southport) ,$0.00,,$10.60
 23/Jun/2023,16:29 PM,Griffith University station (Southport) ,16:52 PM,Helensvale station ,$3.55,,$7.05
 23/Jun/2023,16:53 PM,Helensvale station (Touch on Transfer),18:25 PM,Darra station ,$7.91,,-$0.86
 11/Jul/2023,8:16 AM,Auto top up(Darra station ),,,,$20.00,$19.14
 11/Jul/2023,8:16 AM,Darra station ,8:47 AM,Central station ,$4.34,,$14.80
 11/Jul/2023,17:26 PM,Central station ,17:51 PM,Darra station ,$4.34,,$10.46
 12/Jul/2023,8:19 AM,Darra station ,8:53 AM,Central station ,$4.34,,$6.12
 12/Jul/2023,17:14 PM,Central station ,17:38 PM,Darra station ,$4.34,,$1.78
 18/Jul/2023,12:18 PM,Auto top up(Darra station ),,,,$20.00,$21.78
 18/Jul/2023,12:18 PM,Darra station ,12:36 PM,Indooroopilly station ,$3.47,,$18.31
 18/Jul/2023,12:39 PM,Lambert Road - 35 (Touch on Transfer),12:51 PM,Uni of Qld Arrival Stop ,$0.00,,$18.31
 18/Jul/2023,16:05 PM,UQ Lakes - Zone A ,16:19 PM,Cultural Centre station ,$3.55,,$14.76
 18/Jul/2023,18:22 PM,Cultural Centre station ,18:26 PM,Roma St Bus Station (SEB IB Services) ,$3.55,,$11.21
 18/Jul/2023,18:31 PM,Roma Street station (Touch on Transfer),20:28 PM,Darra station ,$0.79,,$10.42
 01/Aug/2023,7:56 AM,Darra station ,8:18 AM,Roma Street station ,$4.34,,$6.08
 01/Aug/2023,8:21 AM,Roma St Bus Station Platform 2 (Touch on Transfer),8:32 AM,Mater Hill station Platform 1 ,$0.00,,$6.08
 01/Aug/2023,9:36 AM,Mater Hill station Platform 1 ,9:44 AM,UQ Lakes - Zone A ,$2.84,,$3.24
 01/Aug/2023,17:47 PM,Auto top up(UQ Chancellors Place - Stop A ),,,,$20.00,$23.24
 01/Aug/2023,17:47 PM,UQ Chancellors Place - Stop A ,18:04 PM,Clarence Road - 36 ,$3.55,,$19.69
 01/Aug/2023,18:07 PM,Indooroopilly station (Touch on Transfer),18:19 PM,Darra station ,$0.79,,$18.90
 10/Aug/2023,9:03 AM,Darra station ,9:22 AM,Indooroopilly station ,$3.47,,$15.43
 10/Aug/2023,9:24 AM,Lambert Road - 35 (Touch on Transfer),9:34 AM,Uni of Qld Arrival Stop ,$0.00,,$15.43
 10/Aug/2023,16:11 PM,UQ St Lucia ferry terminal ,16:32 PM,Milton ferry terminal ,$3.55,,$11.88
 10/Aug/2023,18:02 PM,Milton station ,18:27 PM,Darra station ,$4.34,,$7.54
 12/Aug/2023,14:36 PM,Darra station ,15:03 PM,Milton station ,$3.47,,$4.07
 12/Aug/2023,17:44 PM,Auto top up(Milton station ),,,,$20.00,$24.07
 12/Aug/2023,17:44 PM,Milton station ,18:10 PM,Darra station ,$3.47,,$20.60
 15/Aug/2023,9:28 AM,Darra station ,9:51 AM,Indooroopilly station ,$3.47,,$17.13
 15/Aug/2023,9:58 AM,Lambert Road - 35 (Touch on Transfer),10:08 AM,Uni of Qld Arrival Stop ,$0.00,,$17.13
 15/Aug/2023,16:25 PM,UQ St Lucia ferry terminal ,16:35 PM,West End ferry terminal ,$3.55,,$13.58
 15/Aug/2023,16:40 PM,West End Ferry - 15 (Touch on Transfer),16:45 PM,West End School - 9 ,$0.00,,$13.58
 15/Aug/2023,18:50 PM,Central station ,19:36 PM,Darra station ,$4.34,,$9.24
 21/Aug/2023,16:53 PM,UQ Chancellors Place - Stop B ,17:10 PM,Holy Family - 33 ,$3.55,,$5.69
 21/Aug/2023,17:28 PM,Indooroopilly station (Touch on Transfer),17:48 PM,Darra station ,$0.79,,$4.90
 22/Aug/2023,11:34 AM,Auto top up(Darra station ),,,,$20.00,$24.90
 22/Aug/2023,11:34 AM,Darra station ,11:50 AM,Indooroopilly station ,$3.47,,$21.43
 22/Aug/2023,11:57 AM,Lambert Road - 35 (Touch on Transfer),12:07 PM,Uni of Qld Arrival Stop ,$0.00,,$21.43
 24/Aug/2023,8:16 AM,Darra station ,8:51 AM,Central station ,$4.34,,$17.09
 24/Aug/2023,17:48 PM,Central station ,18:12 PM,Darra station ,$4.34,,$12.75
 25/Aug/2023,16:45 PM,Indooroopilly station ,17:00 PM,Darra station ,$4.34,,$8.41
 30/Aug/2023,8:54 AM,Darra station ,9:20 AM,Milton station ,$3.47,,$4.94
 30/Aug/2023,10:08 AM,Auto top up(Milton ferry terminal ),,,,$20.00,$24.94
 30/Aug/2023,10:08 AM,Milton ferry terminal (Touch on Transfer),10:23 AM,UQ St Lucia ferry terminal ,$0.00,,$24.94
 30/Aug/2023,16:53 PM,UQ Lakes - Zone A ,17:10 PM,King George Square Station 1E ,$3.55,,$21.39
 30/Aug/2023,22:05 PM,Central station ,22:42 PM,Darra station ,$3.47,,$17.92
 04/Sep/2023,9:16 AM,Darra station ,9:38 AM,Indooroopilly station ,$3.47,,$14.45
 04/Sep/2023,9:46 AM,Lambert Road - 35 (Touch on Transfer),10:01 AM,Uni of Qld Arrival Stop ,$0.00,,$14.45
 04/Sep/2023,16:37 PM,UQ Chancellors Place - Stop B ,16:46 PM,Clarence Road - 36 ,$3.55,,$10.90
 04/Sep/2023,16:49 PM,Indooroopilly station (Touch on Transfer),17:04 PM,Darra station ,$0.79,,$10.11
 11/Sep/2023,9:01 AM,Darra station ,9:21 AM,Indooroopilly station ,$3.47,,$6.64
 11/Sep/2023,9:24 AM,Lambert Road - 35 (Touch on Transfer),9:37 AM,Uni of Qld Arrival Stop ,$0.00,,$6.64
 11/Sep/2023,15:33 PM,Indooroopilly station ,15:52 PM,Darra station ,$4.34,,$2.30
 28/Sep/2023,13:00 PM,Auto top up(Darra station ),,,,$20.00,$22.30
 28/Sep/2023,13:00 PM,Darra station ,13:26 PM,Toowong station ,$3.47,,$18.83
 28/Sep/2023,13:33 PM,'Toowong' Benson St (Touch on Transfer),13:39 PM,Field Street - 23 ,$0.00,,$18.83
 28/Sep/2023,18:57 PM,UQ Chancellors Place - Stop D ,19:04 PM,'Toowong' Benson St ,$3.55,,$15.28
 28/Sep/2023,19:07 PM,Toowong station (Touch on Transfer),19:36 PM,Darra station ,$0.63,,$14.65
 04/Oct/2023,8:35 AM,Darra station ,8:59 AM,Toowong station ,$3.47,,$11.18
 04/Oct/2023,9:45 AM,'Toowong' Benson St (Touch on Transfer),9:57 AM,UQ Chancellors Place - Stop E ,$0.00,,$11.18
 04/Oct/2023,17:47 PM,UQ Chancellors Place - Stop A ,18:02 PM,Clarence Road - 36 ,$3.55,,$7.63
 04/Oct/2023,18:04 PM,Indooroopilly station (Touch on Transfer),18:14 PM,Darra station ,$0.79,,$6.84
 28/Oct/2023,17:48 PM,Darra station ,18:25 PM,Fortitude Valley station ,$3.47,,$3.37
 29/Oct/2023,12:49 AM,Auto top up(Fortitude Valley station ),,,,$20.00,$23.37
 29/Oct/2023,12:49 AM,Fortitude Valley station ,1:26 AM,Darra station ,$3.47,,$19.90
 31/Oct/2023,7:20 AM,Darra station ,7:44 AM,Central station ,$4.34,,$15.56
 31/Oct/2023,12:51 PM,Central station ,13:46 PM,Darra station ,$3.47,,$12.09
 01/Nov/2023,9:38 AM,Darra station ,10:19 AM,Central station ,$3.47,,$8.62
 01/Nov/2023,17:08 PM,Central station ,17:38 PM,Darra station ,$4.34,,$4.28
 03/Nov/2023,8:07 AM,Auto top up(Darra station ),,,,$20.00,$24.28
 03/Nov/2023,8:07 AM,Darra station ,8:30 AM,Roma Street station ,$4.34,,$19.94
 03/Nov/2023,8:31 AM,Roma St Bus Station Platform 2 (Touch on Transfer),8:38 AM,Cultural Centre Platform 3 ,$0.00,,$19.94
 03/Nov/2023,8:39 AM,Cultural Centre Platform 2 (Touch on Transfer),8:44 AM,Woolloongabba station Platform 2 ,$0.00,,$19.94
 03/Nov/2023,12:26 PM,Woolloongabba station Platform 1 ,12:33 PM,UQ Lakes - Zone C ,$2.84,,$17.10
 03/Nov/2023,16:42 PM,UQ Chancellors Place - Stop B ,16:58 PM,Clarence Road - 36 ,$3.55,,$13.55
 03/Nov/2023,17:01 PM,Indooroopilly station (Touch on Transfer),17:11 PM,Darra station ,$0.79,,$12.76
 07/Nov/2023,11:48 AM,Darra station ,12:06 PM,Indooroopilly station ,$3.47,,$9.29
 07/Nov/2023,12:12 PM,Lambert Road - 35 (Touch on Transfer),12:26 PM,Uni of Qld Arrival Stop ,$0.00,,$9.29
 07/Nov/2023,15:12 PM,UQ Chancellors Place - Stop A ,15:30 PM,Clarence Road - 36 ,$2.84,,$6.45
 07/Nov/2023,15:33 PM,Indooroopilly station (Touch on Transfer),15:52 PM,Darra station ,$0.79,,$5.66
 27/Nov/2023,8:45 AM,Darra station ,9:40 AM,Central station ,$3.47,,$2.19
 27/Nov/2023,16:48 PM,Auto top up(Central station ),,,,$20.00,$22.19
 27/Nov/2023,16:48 PM,Central station ,17:11 PM,Darra station ,$4.34,,$17.85
 28/Nov/2023,8:56 AM,Darra station ,9:27 AM,Central station ,$3.47,,$14.38
 28/Nov/2023,17:53 PM,Central station ,18:26 PM,Darra station ,$4.34,,$10.04
 29/Nov/2023,8:19 AM,Darra station ,8:52 AM,Central station ,$4.34,,$5.70
 29/Nov/2023,17:15 PM,Central station ,17:22 PM,Milton station ,$3.55,,$2.15
 29/Nov/2023,19:59 PM,Auto top up(Milton station ),,,,$20.00,$22.15
 29/Nov/2023,19:59 PM,Milton station ,20:27 PM,Darra station ,$3.47,,$18.68
 04/Dec/2023,15:50 PM,Darra station ,16:27 PM,Central station ,$4.34,,$14.34
 04/Dec/2023,23:17 PM,City Hall - KGS 1A ,23:28 PM,Toowong - 14a - High St ,$2.84,,$11.50
 04/Dec/2023,23:32 PM,Toowong station (Touch on Transfer),23:57 PM,Darra station ,$0.63,,$10.87
 12/Dec/2023,14:08 PM,Darra station ,14:43 PM,Toowong station ,$3.47,,$7.40
 12/Dec/2023,14:59 PM,'Toowong' Benson St (Touch on Transfer),15:09 PM,UQ Chancellors Place - Stop E ,$0.00,,$7.40
 12/Dec/2023,20:28 PM,UQ Chancellors Place - Stop D ,20:42 PM,'Cribb Street' Coronation Drive ,$2.84,,$4.56
 12/Dec/2023,21:15 PM,Auto top up(Milton station ),,,,$20.00,$24.56
 12/Dec/2023,21:15 PM,Milton station (Touch on Transfer),21:41 PM,Darra station ,$0.63,,$23.93
 13/Dec/2023,10:49 AM,Darra station ,11:21 AM,Central station ,$3.47,,$20.46
 13/Dec/2023,11:36 AM,Adelaide St op Anzac Sq (r) (Stop 36) (Touch on Transfer),11:46 AM,Manning Street - 4 ,$0.00,,$20.46
 13/Dec/2023,16:07 PM,South Bank busway station Platform 2 ,16:17 PM,UQ Lakes - Zone A ,$3.55,,$16.91
 13/Dec/2023,19:55 PM,UQ Chancellors Place - Stop A ,20:06 PM,Clarence Road - 36 ,$2.84,,$14.07
 13/Dec/2023,20:08 PM,Indooroopilly station (Touch on Transfer),20:32 PM,Darra station ,$0.63,,$13.44
 16/Dec/2023,17:04 PM,Darra station ,17:33 PM,Roma Street station ,$3.47,,$9.97
 16/Dec/2023,17:36 PM,Roma St Bus Station Platform 2 (Touch on Transfer),17:42 PM,Woolloongabba station Platform 2 ,$0.00,,$9.97
 16/Dec/2023,20:36 PM,Woolloongabba station Platform 1 ,20:45 PM,Queen Street Bus Station - Platform 1g ,$2.84,,$7.13
 16/Dec/2023,21:57 PM,Central station ,22:58 PM,Darra station ,$3.47,,$3.66
 18/Dec/2023,9:35 AM,Auto top up(Darra station ),,,,$20.00,$23.66
 18/Dec/2023,9:35 AM,Darra station ,10:01 AM,Toowong station ,$3.47,,$20.19
 18/Dec/2023,10:41 AM,Toowong station (Touch on Transfer),11:03 AM,Darra station ,$0.00,,$20.19
 18/Dec/2023,11:52 AM,Darra station (Touch on Transfer),12:01 PM,Sherwood station ,$0.00,,$20.19
 19/Dec/2023,8:48 AM,Darra station ,9:08 AM,Indooroopilly station ,$3.47,,$16.72
 19/Dec/2023,11:34 AM,Indooroopilly station ,12:07 PM,Darra station ,$3.47,,$13.25
 22/Dec/2023,16:16 PM,Darra station ,16:36 PM,Indooroopilly station ,$4.34,,$8.91
 22/Dec/2023,20:56 PM,Indooroopilly station ,21:24 PM,Darra station ,$3.47,,$5.44
 27/Dec/2023,8:49 AM,Darra station ,9:31 AM,South Bank station ,$3.47,,$1.97
 27/Dec/2023,12:00 PM,Auto top up(South Bank station ),,,,$20.00,$21.97
 27/Dec/2023,12:00 PM,South Bank station ,12:42 PM,Darra station ,$3.47,,$18.50
 29/Dec/2023,9:19 AM,Darra station ,9:38 AM,Indooroopilly station ,$3.47,,$15.03
 29/Dec/2023,12:22 PM,Indooroopilly station ,12:44 PM,Darra station ,$3.47,,$11.56
 29/Dec/2023,16:47 PM,Darra station ,17:27 PM,Fortitude Valley station ,$4.34,,$7.22
 30/Dec/2023,12:17 AM,Fortitude Valley station ,12:57 AM,Darra station ,$3.47,,$3.75
 07/Jan/2024,12:00 PM,Auto top up(Darra station ),,,,$20.00,$23.75
 07/Jan/2024,12:00 PM,Darra station ,12:40 PM,Fortitude Valley station ,$3.47,,$20.28
 07/Jan/2024,22:00 PM,Fortitude Valley station ,22:44 PM,Darra station ,$3.47,,$16.81
 11/Jan/2024,15:34 PM,Darra station ,16:00 PM,Milton station ,$4.34,,$12.47
 16/Jan/2024,12:32 PM,Darra station ,12:50 PM,Indooroopilly station ,$3.47,,$9.00
 16/Jan/2024,13:06 PM,Lambert Road - 35 (Touch on Transfer),13:19 PM,Uni of Qld Arrival Stop ,$0.00,,$9.00
 16/Jan/2024,17:29 PM,UQ Chancellors Place - Stop C ,17:31 PM,UQ Chancellors Place - Stop C ,$3.55,,$5.45
 16/Jan/2024,17:31 PM,UQ Chancellors Place - Stop D (Touch on Transfer),17:47 PM,'Toowong' Benson St ,$0.00,,$5.45
 16/Jan/2024,17:49 PM,Toowong station (Touch on Transfer),18:13 PM,Darra station ,$0.79,,$4.66
 18/Jan/2024,8:01 AM,Auto top up(Darra station ),,,,$20.00,$24.66
 18/Jan/2024,8:01 AM,Darra station ,Unknown,Failed to touch Off,$10.00,,$14.66
 30/Jan/2024,11:10 AM,Darra station ,11:34 AM,Indooroopilly station ,$3.47,,$11.19
 30/Jan/2024,11:40 AM,Lambert Road - 35 (Touch on Transfer),11:52 AM,Uni of Qld Arrival Stop ,$0.00,,$11.19
 30/Jan/2024,17:19 PM,UQ Chancellors Place - Stop A ,17:31 PM,Clarence Road - 36 ,$3.55,,$7.64
 30/Jan/2024,17:34 PM,Indooroopilly station (Touch on Transfer),17:50 PM,Darra station ,$0.79,,$6.85
 05/Feb/2024,8:04 AM,Darra station ,8:08 AM,Darra station (Cancel touch on),$0.00,,$6.85
 15/Feb/2024,14:10 PM,Indooroopilly station ,14:26 PM,Darra station ,$3.47,,$3.38
 19/Feb/2024,10:03 AM,Auto top up(Darra station ),,,,$20.00,$23.38
 19/Feb/2024,10:03 AM,Darra station ,10:29 AM,Indooroopilly station ,$3.47,,$19.91
 19/Feb/2024,10:35 AM,Lambert Road - 35 (Touch on Transfer),10:47 AM,Uni of Qld Arrival Stop ,$0.00,,$19.91
 19/Feb/2024,17:14 PM,UQ Chancellors Place - Stop A ,17:38 PM,Clarence Road - 36 ,$3.55,,$16.36
 19/Feb/2024,17:39 PM,Indooroopilly station (Touch on Transfer),17:49 PM,Darra station ,$0.79,,$15.57
 21/Feb/2024,18:00 PM,Milton station ,18:27 PM,Darra station ,$4.34,,$11.23
 02/Mar/2024,18:32 PM,Darra station ,19:34 PM,Fortitude Valley station ,$3.47,,$7.76
 03/Mar/2024,12:01 AM,Fortitude Valley station ,12:04 AM,Fortitude Valley station (Cancel touch on),$0.00,,$7.76
 03/Mar/2024,12:19 AM,Fortitude Valley station ,1:02 AM,Darra station ,$3.47,,$4.29
 05/Mar/2024,9:08 AM,Auto top up(Darra station ),,,,$20.00,$24.29
 05/Mar/2024,9:08 AM,Darra station ,9:41 AM,Indooroopilly station ,$3.47,,$20.82
 05/Mar/2024,9:44 AM,Lambert Road - 35 (Touch on Transfer),10:00 AM,Uni of Qld Arrival Stop ,$0.00,,$20.82
 05/Mar/2024,17:38 PM,UQ Chancellors Place - Stop B ,17:50 PM,Clarence Road - 36 ,$3.55,,$17.27
 05/Mar/2024,17:53 PM,Indooroopilly station (Touch on Transfer),18:12 PM,Darra station ,$0.79,,$16.48
 15/Mar/2024,16:49 PM,Darra station ,17:06 PM,Indooroopilly station ,$4.34,,$12.14
 15/Mar/2024,21:09 PM,Indooroopilly station ,21:27 PM,Darra station ,$3.47,,$8.67
 19/Mar/2024,9:17 AM,Darra station ,9:36 AM,Indooroopilly station ,$3.47,,$5.20
 19/Mar/2024,9:46 AM,Lambert Road - 35 (Touch on Transfer),10:02 AM,Uni of Qld Arrival Stop ,$0.00,,$5.20
 19/Mar/2024,16:44 PM,UQ Chancellors Place - Stop A ,17:05 PM,Clarence Road - 36 ,$3.55,,$1.65
 19/Mar/2024,17:07 PM,Auto top up(Indooroopilly station ),,,,$20.00,$21.65
 19/Mar/2024,17:07 PM,Indooroopilly station (Touch on Transfer),17:25 PM,Darra station ,$0.79,,$20.86
 21/Mar/2024,9:08 AM,Darra station ,9:26 AM,Indooroopilly station ,$3.47,,$17.39
 21/Mar/2024,9:32 AM,Lambert Road - 35 (Touch on Transfer),9:44 AM,Uni of Qld Arrival Stop ,$0.00,,$17.39
 21/Mar/2024,21:12 PM,UQ Chancellors Place - Stop D ,21:20 PM,'Toowong' Benson St ,$2.84,,$14.55
 21/Mar/2024,21:23 PM,Toowong station (Touch on Transfer),21:48 PM,Sherwood station ,$0.63,,$13.92
 25/Mar/2024,9:06 AM,Darra station ,9:19 AM,Sherwood station ,$2.84,,$11.08
 25/Mar/2024,11:25 AM,Sherwood station ,11:43 AM,Darra station ,$2.84,,$8.24
 26/Mar/2024,9:42 AM,Darra station ,10:10 AM,Indooroopilly station ,$3.47,,$4.77
 26/Mar/2024,10:15 AM,Auto top up(Lambert Road - 35 ),,,,$20.00,$24.77
 26/Mar/2024,10:15 AM,Lambert Road - 35 (Touch on Transfer),10:28 AM,Uni of Qld Arrival Stop ,$0.00,,$24.77
 26/Mar/2024,17:56 PM,UQ Chancellors Place - Stop B ,18:11 PM,Clarence Road - 36 ,$3.55,,$21.22
 26/Mar/2024,18:14 PM,Indooroopilly station (Touch on Transfer),18:30 PM,Darra station ,$0.79,,$20.43
 27/Mar/2024,10:14 AM,Darra station ,10:37 AM,Indooroopilly station ,$3.47,,$16.96
 27/Mar/2024,10:41 AM,Lambert Road - 35 (Touch on Transfer),10:56 AM,Uni of Qld Arrival Stop ,$0.00,,$16.96
 27/Mar/2024,19:22 PM,UQ Chancellors Place - Stop A ,19:34 PM,Clarence Road - 36 ,$2.84,,$14.12
 27/Mar/2024,19:36 PM,Indooroopilly station (Touch on Transfer),19:57 PM,Darra station ,$0.63,,$13.49
 16/Apr/2024,9:43 AM,Darra station ,10:08 AM,Indooroopilly station ,$3.47,,$10.02
 16/Apr/2024,10:19 AM,Lambert Road - 35 (Touch on Transfer),10:35 AM,Uni of Qld Arrival Stop ,$0.00,,$10.02
 03/May/2024,17:52 PM,UQ Chancellors Place - Stop A ,18:03 PM,Clarence Road - 36 ,$3.55,,$6.47
 03/May/2024,18:05 PM,Indooroopilly station (Touch on Transfer),18:28 PM,Darra station ,$0.79,,$5.68
 07/May/2024,9:14 AM,Darra station ,9:36 AM,Indooroopilly station ,$3.47,,$2.21
 07/May/2024,9:43 AM,Auto top up(Lambert Road - 35 ),,,,$20.00,$22.21
 07/May/2024,9:43 AM,Lambert Road - 35 (Touch on Transfer),9:57 AM,Uni of Qld Arrival Stop ,$0.00,,$22.21
 07/May/2024,16:58 PM,UQ Chancellors Place - Stop B ,17:31 PM,Lambert/Central - 35 ,$3.55,,$18.66
 07/May/2024,17:35 PM,Indooroopilly station (Touch on Transfer),17:48 PM,Darra station ,$0.79,,$17.87
 08/May/2024,9:03 AM,Darra station ,9:22 AM,Indooroopilly station ,$3.47,,$14.40
 08/May/2024,9:25 AM,Lambert Road - 35 (Touch on Transfer),9:42 AM,Uni of Qld Arrival Stop ,$0.00,,$14.40
 08/May/2024,17:58 PM,UQ Chancellors Place - Stop D ,18:08 PM,'Toowong' Benson St ,$3.55,,$10.85
 08/May/2024,18:11 PM,Toowong station (Touch on Transfer),18:39 PM,Darra station ,$0.79,,$10.06
 09/May/2024,9:07 AM,Darra station ,9:25 AM,Indooroopilly station ,$3.47,,$6.59
 09/May/2024,9:36 AM,Lambert Road - 35 (Touch on Transfer),9:50 AM,Uni of Qld Arrival Stop ,$0.00,,$6.59
 09/May/2024,17:50 PM,UQ Chancellors Place - Stop A ,18:30 PM,Holy Family - 33 ,$3.55,,$3.04
 09/May/2024,18:37 PM,Auto top up(Indooroopilly station ),,,,$20.00,$23.04
 09/May/2024,18:37 PM,Indooroopilly station (Touch on Transfer),18:59 PM,Darra station ,$0.79,,$22.25
 10/May/2024,16:32 PM,Darra station ,17:00 PM,Milton station ,$4.34,,$17.91
 13/May/2024,9:04 AM,Darra station ,9:19 AM,Indooroopilly station ,$3.47,,$14.44
