 Date,Time,From,Time,To,Fare,Credit,Balance
 13/May/2024,9:29 AM,Lambert Road - 35 (Touch on Transfer),9:39 AM,Uni of Qld Arrival Stop ,$0.00,,$14.44
 13/May/2024,9:44 AM,UQ Chancellors Place - Stop E (Touch on Transfer),9:46 AM,'St Lucia South' Boomerang Road West ,$0.00,,$14.44
 13/May/2024,16:58 PM,UQ Chancellors Place - Stop D ,17:10 PM,'Toowong' Benson St ,$3.55,,$10.89
 13/May/2024,17:12 PM,Toowong station (Touch on Transfer),17:46 PM,Darra station ,$0.79,,$10.10
 14/May/2024,9:55 AM,Darra station ,10:21 AM,Indooroopilly station ,$3.47,,$6.63
 14/May/2024,10:30 AM,Lambert Road - 35 (Touch on Transfer),10:42 AM,Uni of Qld Arrival Stop ,$0.00,,$6.63
 14/May/2024,17:19 PM,Uni of Qld Arrival Stop ,17:36 PM,Burns Street - 27 ,$3.55,,$3.08
 14/May/2024,17:49 PM,Auto top up(Indooroopilly station ),,,,$20.00,$23.08
 14/May/2024,17:49 PM,Indooroopilly station (Touch on Transfer),17:59 PM,Darra station ,$0.79,,$22.29
 16/May/2024,10:02 AM,Darra station ,10:21 AM,Indooroopilly station ,$3.47,,$18.82
 16/May/2024,10:29 AM,Lambert Road - 35 (Touch on Transfer),10:39 AM,Uni of Qld Arrival Stop ,$0.00,,$18.82
 16/May/2024,16:07 PM,UQ Chancellors Place - Stop B ,16:22 PM,Clarence Road - 36 ,$3.55,,$15.27
 16/May/2024,16:24 PM,Indooroopilly station (Touch on Transfer),16:37 PM,Darra station ,$0.79,,$14.48
 17/May/2024,14:56 PM,Darra station ,15:21 PM,Indooroopilly station ,$3.47,,$11.01
 17/May/2024,15:29 PM,Lambert Road - 35 (Touch on Transfer),15:43 PM,Uni of Qld Arrival Stop ,$0.00,,$11.01
 17/May/2024,18:11 PM,UQ Chancellors Place - Stop A ,18:23 PM,Clarence Road - 36 ,$3.55,,$7.46
 17/May/2024,18:25 PM,Indooroopilly station (Touch on Transfer),18:40 PM,Darra station ,$0.79,,$6.67
 18/May/2024,23:14 PM,Fortitude Valley station ,23:38 PM,South Bank station ,$1.42,,$5.25
 19/May/2024,9:46 AM,Darra station ,10:34 AM,Roma Street station ,$1.74,,$3.51
 19/May/2024,10:37 AM,Auto top up(Roma St Bus Station Platform 2 ),,,,$20.00,$23.51
 19/May/2024,10:37 AM,Roma St Bus Station Platform 2 (Touch on Transfer),10:46 AM,Mater Hill station Platform 2 ,$0.00,,$23.51
 20/May/2024,15:10 PM,Darra station ,15:37 PM,Indooroopilly station ,$3.47,,$20.04
 20/May/2024,16:03 PM,Lambert Road - 35 (Touch on Transfer),16:17 PM,Uni of Qld Arrival Stop ,$0.00,,$20.04
 20/May/2024,17:41 PM,UQ Chancellors Place - Stop A ,17:59 PM,Clarence Road - 36 ,$3.55,,$16.49
 20/May/2024,18:18 PM,Darra station (Touch on Transfer),Unknown,Failed to touch Off,$10.00,,$6.49
 21/May/2024,9:52 AM,Darra station ,10:08 AM,Indooroopilly station ,$3.47,,$3.02
 21/May/2024,10:16 AM,Auto top up(Lambert Road - 35 ),,,,$20.00,$23.02
 21/May/2024,10:16 AM,Lambert Road - 35 (Touch on Transfer),10:32 AM,Uni of Qld Arrival Stop ,$0.00,,$23.02
 21/May/2024,16:07 PM,Uni of Qld Arrival Stop ,16:20 PM,Clarence Road - 36 ,$3.55,,$19.47
 21/May/2024,16:23 PM,Indooroopilly station (Touch on Transfer),16:35 PM,Darra station ,$0.79,,$18.68
 22/May/2024,9:59 AM,Darra station ,10:19 AM,Indooroopilly station ,$3.47,,$15.21
 22/May/2024,10:32 AM,Lambert Road - 35 (Touch on Transfer),10:41 AM,Uni of Qld Arrival Stop ,$0.00,,$15.21
 22/May/2024,17:43 PM,UQ Chancellors Place - Stop D ,17:54 PM,'Toowong' Benson St ,$3.55,,$11.66
 22/May/2024,17:58 PM,Toowong station (Touch on Transfer),18:39 PM,Darra station ,$0.79,,$10.87
 23/May/2024,9:07 AM,Darra station ,9:26 AM,Indooroopilly station ,$3.47,,$7.40
 23/May/2024,9:29 AM,Lambert Road - 35 (Touch on Transfer),9:39 AM,Uni of Qld Arrival Stop ,$0.00,,$7.40
 23/May/2024,17:39 PM,UQ Chancellors Place - Stop B ,18:08 PM,Clarence Road - 36 ,$3.55,,$3.85
 23/May/2024,18:10 PM,Auto top up(Indooroopilly station ),,,,$20.00,$23.85
 23/May/2024,18:10 PM,Indooroopilly station (Touch on Transfer),18:26 PM,Darra station ,$0.79,,$23.06
 24/May/2024,8:32 AM,Darra station ,8:50 AM,Indooroopilly station ,$1.74,,$21.32
 24/May/2024,8:54 AM,Lambert Road - 35 (Touch on Transfer),9:07 AM,Uni of Qld Arrival Stop ,$0.00,,$21.32
 24/May/2024,15:58 PM,UQ Chancellors Place - Stop B ,Unknown,Failed to touch Off,$5.00,,$16.32
 24/May/2024,16:26 PM,Darra station ,16:27 PM,Darra station (Cancel touch on),$0.00,,$16.32
 27/May/2024,9:02 AM,Darra station ,9:22 AM,Indooroopilly station ,$3.47,,$12.85
 27/May/2024,9:29 AM,Lambert Road - 35 (Touch on Transfer),9:39 AM,Hawken Village - 30 ,$0.00,,$12.85
 27/May/2024,20:24 PM,UQ Chancellors Place - Stop A ,20:37 PM,Clarence Road - 36 ,$2.84,,$10.01
 27/May/2024,20:39 PM,Indooroopilly station (Touch on Transfer),20:56 PM,Darra station ,$0.63,,$9.38
 29/May/2024,9:03 AM,Darra station ,9:21 AM,Indooroopilly station ,$3.47,,$5.91
 29/May/2024,9:27 AM,Lambert Road - 35 (Touch on Transfer),9:40 AM,Uni of Qld Arrival Stop ,$0.00,,$5.91
 29/May/2024,19:40 PM,UQ Chancellors Place - Stop D ,19:52 PM,'Toowong' Benson St ,$2.84,,$3.07
 29/May/2024,19:56 PM,Auto top up(Toowong station ),,,,$20.00,$23.07
 29/May/2024,19:56 PM,Toowong station (Touch on Transfer),20:20 PM,Darra station ,$0.63,,$22.44
 31/May/2024,9:08 AM,Darra station ,9:25 AM,Indooroopilly station ,$3.47,,$18.97
 31/May/2024,9:28 AM,Lambert Road - 35 (Touch on Transfer),9:40 AM,Uni of Qld Arrival Stop ,$0.00,,$18.97
 31/May/2024,16:52 PM,UQ Chancellors Place - Stop A ,17:04 PM,Clarence Road - 36 ,$3.55,,$15.42
 31/May/2024,17:06 PM,Indooroopilly station (Touch on Transfer),17:23 PM,Darra station ,$0.79,,$14.63
 05/Jun/2024,11:01 AM,Darra station ,11:20 AM,Indooroopilly station ,$3.47,,$11.16
 05/Jun/2024,11:30 AM,Lambert Road - 35 (Touch on Transfer),11:41 AM,Uni of Qld Arrival Stop ,$0.00,,$11.16
 05/Jun/2024,17:12 PM,UQ Chancellors Place - Stop A ,17:37 PM,Swann/Clarence - 29 ,$3.55,,$7.61
 05/Jun/2024,17:51 PM,Indooroopilly station (Touch on Transfer),18:09 PM,Darra station ,$0.79,,$6.82
 06/Jun/2024,9:04 AM,Darra station ,9:22 AM,Indooroopilly station ,$3.47,,$3.35
 06/Jun/2024,9:27 AM,Auto top up(Lambert Road - 35 ),,,,$20.00,$23.35
 06/Jun/2024,9:27 AM,Lambert Road - 35 (Touch on Transfer),9:40 AM,Uni of Qld Arrival Stop ,$0.00,,$23.35
 06/Jun/2024,13:30 PM,UQ Chancellors Place - Stop D ,13:40 PM,'Toowong' Benson St ,$2.84,,$20.51
 06/Jun/2024,13:42 PM,Toowong station (Touch on Transfer),14:07 PM,Darra station ,$0.63,,$19.88
 07/Jun/2024,10:40 AM,Darra station ,10:57 AM,Indooroopilly station ,$3.47,,$16.41
 07/Jun/2024,11:05 AM,Lambert Road - 35 (Touch on Transfer),11:20 AM,Uni of Qld Arrival Stop ,$0.00,,$16.41
 07/Jun/2024,16:58 PM,UQ Chancellors Place - Stop B ,17:10 PM,Clarence Road - 36 ,$3.55,,$12.86
 07/Jun/2024,17:12 PM,Indooroopilly station (Touch on Transfer),17:25 PM,Darra station ,$0.79,,$12.07
 08/Jun/2024,18:00 PM,Darra station ,18:45 PM,Fortitude Valley station ,$3.47,,$8.60
 08/Jun/2024,23:46 PM,Fortitude Valley station ,12:29 AM,Darra station ,$3.47,,$5.13
 09/Jun/2024,17:55 PM,Darra station ,18:29 PM,Milton station ,$1.74,,$3.39
 10/Jun/2024,9:05 AM,Auto top up(Darra station ),,,,$20.00,$23.39
 10/Jun/2024,9:05 AM,Darra station ,9:21 AM,Indooroopilly station ,$3.47,,$19.92
 10/Jun/2024,9:30 AM,Lambert Road - 35 (Touch on Transfer),9:39 AM,Uni of Qld Arrival Stop ,$0.00,,$19.92
 10/Jun/2024,9:42 AM,UQ Chancellors Place - Stop E (Touch on Transfer),9:45 AM,'St Lucia South' Boomerang Road West ,$0.00,,$19.92
 10/Jun/2024,13:56 PM,UQ Chancellors Place - Stop B ,14:09 PM,Clarence Road - 36 ,$2.84,,$17.08
 10/Jun/2024,14:11 PM,Indooroopilly station (Touch on Transfer),14:27 PM,Darra station ,$0.63,,$16.45
 11/Jun/2024,10:48 AM,Darra station ,11:05 AM,Indooroopilly station ,$3.47,,$12.98
 11/Jun/2024,11:10 AM,Lambert Road - 35 (Touch on Transfer),11:23 AM,Uni of Qld Arrival Stop ,$0.00,,$12.98
 11/Jun/2024,17:13 PM,UQ Chancellors Place - Stop A ,17:33 PM,Clarence Road - 36 ,$3.55,,$9.43
 11/Jun/2024,17:35 PM,Indooroopilly station (Touch on Transfer),17:47 PM,Darra station ,$0.79,,$8.64
 12/Jun/2024,11:04 AM,Darra station ,11:21 AM,Indooroopilly station ,$3.47,,$5.17
 12/Jun/2024,11:26 AM,Lambert Road - 35 (Touch on Transfer),11:37 AM,Uni of Qld Arrival Stop ,$0.00,,$5.17
 12/Jun/2024,20:34 PM,UQ Chancellors Place - Stop A ,20:49 PM,Clarence Road - 36 ,$2.84,,$2.33
 12/Jun/2024,20:51 PM,Auto top up(Indooroopilly station ),,,,$20.00,$22.33
 12/Jun/2024,20:51 PM,Indooroopilly station (Touch on Transfer),21:12 PM,Darra station ,$0.63,,$21.70
 20/Jun/2024,10:01 AM,Darra station ,10:21 AM,Indooroopilly station ,$3.47,,$18.23
 20/Jun/2024,10:28 AM,Lambert Road - 35 (Touch on Transfer),10:38 AM,Uni of Qld Arrival Stop ,$0.00,,$18.23
 20/Jun/2024,14:48 PM,UQ Chancellors Place - Stop A ,15:00 PM,Clarence Road - 36 ,$2.84,,$15.39
 20/Jun/2024,15:05 PM,Indooroopilly station (Touch on Transfer),15:21 PM,Darra station ,$0.63,,$14.76
 27/Jun/2024,11:49 AM,Darra station ,12:21 PM,Central station ,$3.47,,$11.29
 27/Jun/2024,13:24 PM,Central station ,13:43 PM,Indooroopilly station ,$2.84,,$8.45
 27/Jun/2024,14:55 PM,Indooroopilly station ,15:17 PM,Darra station ,$3.47,,$4.98
 04/Jul/2024,9:04 AM,Auto top up(Darra station ),,,,$20.00,$24.98
 04/Jul/2024,9:04 AM,Darra station ,9:39 AM,Central station ,$3.47,,$21.51
 04/Jul/2024,19:06 PM,Central station ,19:42 PM,Darra station ,$3.47,,$18.04
 05/Jul/2024,21:26 PM,South Brisbane station ,21:51 PM,Fortitude Valley station ,$2.84,,$15.20
 06/Jul/2024,10:03 AM,Darra station ,10:20 AM,Indooroopilly station ,$3.47,,$11.73
 06/Jul/2024,10:36 AM,Lambert Road - 35 (Touch on Transfer),10:49 AM,Uni of Qld Arrival Stop ,$0.00,,$11.73
 09/Jul/2024,10:33 AM,Darra station ,10:50 AM,Indooroopilly station ,$3.47,,$8.26
 09/Jul/2024,11:16 AM,Lambert Road - 35 (Touch on Transfer),11:31 AM,Uni of Qld Arrival Stop ,$0.00,,$8.26
 09/Jul/2024,16:43 PM,UQ St Lucia ferry terminal ,Unknown,Failed to touch Off,$5.00,,$3.26
 09/Jul/2024,18:26 PM,Milton station ,18:36 PM,Central station ,$3.55,,-$0.29
 09/Jul/2024,22:17 PM,Auto top up(Cultural Centre station ),,,,$20.00,$19.71
 09/Jul/2024,22:17 PM,Cultural Centre station ,22:23 PM,Roma St Bus Station Platform 1 ,$2.84,,$16.87
 09/Jul/2024,22:26 PM,Roma Street station (Touch on Transfer),22:56 PM,Darra station ,$0.63,,$16.24
 11/Jul/2024,22:10 PM,South Brisbane station ,22:56 PM,Darra station ,$3.47,,$12.77
 12/Jul/2024,8:48 AM,Darra station ,9:07 AM,Indooroopilly station ,$3.47,,$9.30
 12/Jul/2024,9:13 AM,Lambert Road - 35 (Touch on Transfer),9:29 AM,Uni of Qld Arrival Stop ,$0.00,,$9.30
 16/Jul/2024,10:31 AM,Darra station ,10:51 AM,Indooroopilly station ,$3.47,,$5.83
 17/Jul/2024,17:38 PM,Top Up( Darra station  ),17:38 PM,Darra station ,$4.34,$20.00,$22.94
 26/Jul/2024,16:19 PM,Darra station ,16:45 PM,Milton station ,$4.34,,$18.60
 31/Jul/2024,9:32 AM,UQ Lakes - Stop D ,9:41 AM,Mater Hill station Platform 1 ,$2.84,,$15.76
 31/Jul/2024,10:54 AM,Mater Hill station Platform 2 ,11:03 AM,UQ Lakes - Arrival ,$2.84,,$12.92
 08/Aug/2024,8:56 AM,Darra station ,9:21 AM,Indooroopilly station ,$0.50,,$12.42
 08/Aug/2024,9:31 AM,Lambert Road - 35 (Touch on Transfer),9:45 AM,Uni of Qld Arrival Stop ,$0.00,,$12.42
 08/Aug/2024,16:31 PM,Indooroopilly station ,16:49 PM,Darra station ,$0.50,,$11.92
 12/Aug/2024,10:03 AM,Darra station ,10:21 AM,Indooroopilly station ,$0.50,,$11.42
 12/Aug/2024,10:27 AM,Lambert Road - 35 (Touch on Transfer),10:38 AM,Uni of Qld Arrival Stop ,$0.00,,$11.42
 12/Aug/2024,18:53 PM,UQ Chancellors Place - Stop A ,19:06 PM,Clarence Road - 36 ,$0.50,,$10.92
 12/Aug/2024,19:08 PM,Indooroopilly station (Touch on Transfer),19:27 PM,Darra station ,$0.00,,$10.92
 13/Aug/2024,20:04 PM,Darra station ,20:29 PM,Milton station ,$0.50,,$10.42
 13/Aug/2024,22:51 PM,Milton station ,23:28 PM,Darra station ,$0.50,,$9.92
 16/Aug/2024,9:33 AM,Darra station ,9:53 AM,Indooroopilly station ,$0.50,,$9.42
 16/Aug/2024,9:56 AM,Lambert Road - 35 (Touch on Transfer),10:10 AM,Uni of Qld Arrival Stop ,$0.00,,$9.42
 16/Aug/2024,10:12 AM,UQ Chancellors Place - Stop E (Touch on Transfer),10:14 AM,'St Lucia South' Boomerang Road West ,$0.00,,$9.42
 16/Aug/2024,17:14 PM,UQ St Lucia ferry terminal ,17:33 PM,Milton ferry terminal ,$0.50,,$8.92
 16/Aug/2024,20:37 PM,Toowong station ,20:58 PM,Darra station ,$0.50,,$8.42
 20/Aug/2024,9:05 AM,Darra station ,9:23 AM,Indooroopilly station ,$0.50,,$7.92
 20/Aug/2024,9:28 AM,Lambert Road - 35 (Touch on Transfer),9:40 AM,Uni of Qld Arrival Stop ,$0.00,,$7.92
 20/Aug/2024,16:19 PM,UQ Lakes - Stop D ,16:34 PM,Cultural Centre station ,$0.50,,$7.42
 20/Aug/2024,16:36 PM,Cultural Centre station (Touch on Transfer),16:46 PM,Wickham St app Gotha St (Stop 226) ,$0.00,,$7.42
 20/Aug/2024,19:00 PM,Adelaide St - (Stop 32) ,19:09 PM,Manning Street - 4 ,$0.50,,$6.92
 20/Aug/2024,21:03 PM,South Brisbane station ,21:55 PM,Darra station ,$0.50,,$6.42
 22/Aug/2024,8:48 AM,Darra station ,9:06 AM,Indooroopilly station ,$0.50,,$5.92
 22/Aug/2024,9:10 AM,Lambert Road - 35 (Touch on Transfer),9:23 AM,Uni of Qld Arrival Stop ,$0.00,,$5.92
 22/Aug/2024,12:58 PM,Hawken Village - 30 ,13:11 PM,Clarence Road - 36 ,$0.50,,$5.42
 22/Aug/2024,13:14 PM,Indooroopilly station (Touch on Transfer),13:42 PM,Darra station ,$0.00,,$5.42
 23/Aug/2024,17:50 PM,Darra station ,18:18 PM,Milton station ,$0.50,,$4.92
 23/Aug/2024,20:39 PM,Auto top up(QUT Gardens Point ferry terminal ),,,,$20.00,$24.92
 23/Aug/2024,20:39 PM,QUT Gardens Point ferry terminal ,20:56 PM,Regatta ferry terminal ,$0.50,,$24.42
 23/Aug/2024,21:11 PM,Toowong station (Touch on Transfer),21:43 PM,Darra station ,$0.00,,$24.42
 27/Aug/2024,9:59 AM,Darra station ,10:21 AM,Indooroopilly station ,$0.50,,$23.92
 27/Aug/2024,10:27 AM,Lambert Road - 35 (Touch on Transfer),10:36 AM,Uni of Qld Arrival Stop ,$0.00,,$23.92
 27/Aug/2024,12:26 PM,Hawken Village - 30 ,12:36 PM,Clarence Road - 36 ,$0.50,,$23.42
 27/Aug/2024,12:39 PM,Indooroopilly station (Touch on Transfer),12:56 PM,Darra station ,$0.00,,$23.42
 30/Aug/2024,8:34 AM,Darra station ,8:50 AM,Indooroopilly station ,$0.50,,$22.92
 30/Aug/2024,8:55 AM,Lambert Road - 35 (Touch on Transfer),9:06 AM,Uni of Qld Arrival Stop ,$0.00,,$22.92
 30/Aug/2024,13:53 PM,UQ Chancellors Place - Stop D ,14:01 PM,'Toowong' Benson St ,$0.50,,$22.42
 30/Aug/2024,14:03 PM,Toowong station (Touch on Transfer),14:26 PM,Darra station ,$0.00,,$22.42
 30/Aug/2024,Unknown,Failed to touch on,18:40 PM,Fortitude Valley station ,$2.50,,$19.92
 02/Sep/2024,15:00 PM,Darra station ,15:20 PM,Indooroopilly station ,$0.00,,$19.42
 02/Sep/2024,15:31 PM,Lambert Road - 35 (Touch on Transfer),15:46 PM,Uni of Qld Arrival Stop ,$0.00,,$19.42
 02/Sep/2024,18:31 PM,UQ Chancellors Place - Stop D ,18:42 PM,'Toowong' Benson St ,$0.50,,$18.92
 02/Sep/2024,18:45 PM,Toowong station (Touch on Transfer),19:07 PM,Darra station ,$0.00,,$18.92
 04/Sep/2024,7:11 AM,Darra station ,7:23 AM,Indooroopilly station ,$0.50,,$18.42
 04/Sep/2024,7:31 AM,Lambert Road - 35 (Touch on Transfer),7:44 AM,Uni of Qld Arrival Stop ,$0.00,,$18.42
 04/Sep/2024,16:02 PM,Indooroopilly station ,16:27 PM,Darra station ,$0.50,,$17.92
 06/Sep/2024,9:19 AM,Darra station ,9:37 AM,Indooroopilly station ,$0.50,,$17.42
 06/Sep/2024,9:41 AM,Lambert Road - 35 (Touch on Transfer),10:00 AM,Uni of Qld Arrival Stop ,$0.00,,$17.42
 06/Sep/2024,17:14 PM,UQ Chancellors Place - Stop B ,17:23 PM,Clarence Road - 36 ,$0.50,,$16.92
 06/Sep/2024,17:26 PM,Indooroopilly station (Touch on Transfer),17:35 PM,Darra station ,$0.00,,$16.92
 18/Sep/2024,7:02 AM,Darra station ,7:17 AM,Indooroopilly station ,$0.50,,$16.42
 18/Sep/2024,7:25 AM,Lambert Road - 35 (Touch on Transfer),7:36 AM,Uni of Qld Arrival Stop ,$0.00,,$16.42
 18/Sep/2024,20:14 PM,UQ Chancellors Place - Stop D ,20:22 PM,'Toowong' Benson St ,$0.50,,$15.92
 18/Sep/2024,20:26 PM,Toowong station (Touch on Transfer),20:59 PM,Darra station ,$0.00,,$15.92
 20/Sep/2024,13:48 PM,Darra station ,14:06 PM,Indooroopilly station ,$0.00,,$15.42
 20/Sep/2024,14:10 PM,Lambert Road - 35 (Touch on Transfer),14:21 PM,Hawken Village - 30 ,$0.00,,$15.42
 20/Sep/2024,15:33 PM,UQ Chancellors Place - Stop D ,15:42 PM,'Toowong' Benson St ,$0.50,,$14.92
 20/Sep/2024,16:04 PM,Toowong station (Touch on Transfer),16:31 PM,Darra station ,$0.00,,$14.92
 21/Sep/2024,10:04 AM,Darra station ,10:21 AM,Indooroopilly station ,$0.50,,$14.42
 21/Sep/2024,10:35 AM,Lambert Road - 35 (Touch on Transfer),10:47 AM,Uni of Qld Arrival Stop ,$0.00,,$14.42
 21/Sep/2024,18:36 PM,UQ Chancellors Place - Stop D ,18:45 PM,'Toowong' Benson St ,$0.50,,$13.92
 21/Sep/2024,21:40 PM,Toowong station ,22:12 PM,Darra station ,$0.50,,$13.42
 24/Sep/2024,9:04 AM,Darra station ,9:20 AM,Indooroopilly station ,$0.00,,$12.92
 24/Sep/2024,9:30 AM,Lambert Road - 35 (Touch on Transfer),9:38 AM,Uni of Qld Arrival Stop ,$0.00,,$12.92
 24/Sep/2024,12:02 PM,UQ Chancellors Place - Stop B ,12:15 PM,Clarence Road - 36 ,$0.50,,$12.42
 24/Sep/2024,12:18 PM,Indooroopilly station (Touch on Transfer),12:42 PM,Darra station ,$0.00,,$12.42
 06/Oct/2024,21:02 PM,Darra station ,21:28 PM,Toowong station ,$0.50,,$11.92
 09/Oct/2024,21:03 PM,Sherwood station ,21:13 PM,Darra station ,$0.50,,$11.42
 21/Oct/2024,13:59 PM,Darra station ,14:22 PM,Indooroopilly station ,$0.50,,$10.92
 21/Oct/2024,14:29 PM,Lambert Road - 35 (Touch on Transfer),14:40 PM,UQ Chancellors Place - Stop A ,$0.00,,$10.92
 21/Oct/2024,17:34 PM,UQ Chancellors Place - Stop D ,17:50 PM,'Cribb Street' Coronation Drive ,$0.50,,$10.42
 21/Oct/2024,19:00 PM,Milton station ,19:26 PM,Darra station ,$0.50,,$9.92
 23/Oct/2024,7:05 AM,Darra station ,7:18 AM,Indooroopilly station ,$0.50,,$9.42
 23/Oct/2024,7:22 AM,Lambert Road - 35 (Touch on Transfer),7:36 AM,Uni of Qld Arrival Stop ,$0.00,,$9.42
 23/Oct/2024,11:53 AM,UQ Lakes - Stop A ,12:11 PM,Upper Mt Gravatt station ,$0.50,,$8.92
 23/Oct/2024,13:13 PM,Upper Mt Gravatt station ,13:34 PM,UQ Lakes - Stop A ,$0.50,,$8.42
 23/Oct/2024,15:56 PM,UQ Chancellors Place - Stop B ,16:11 PM,Clarence Road - 36 ,$0.50,,$7.92
 23/Oct/2024,16:14 PM,Indooroopilly station (Touch on Transfer),16:29 PM,Darra station ,$0.00,,$7.92
 26/Oct/2024,10:55 AM,City Hall - KGS 1B ,10:56 AM,Roma St Bus Station Platform 1 ,$0.50,,$7.42
 01/Nov/2024,8:17 AM,Darra station ,8:50 AM,Central station ,$0.50,,$6.92
 01/Nov/2024,12:04 PM,Central station ,12:42 PM,Darra station ,$0.50,,$6.42
 13/Nov/2024,10:03 AM,Darra station ,10:20 AM,Indooroopilly station ,$0.50,,$5.92
 13/Nov/2024,10:26 AM,Lambert Road - 35 (Touch on Transfer),10:36 AM,Uni of Qld Arrival Stop ,$0.00,,$5.92
 13/Nov/2024,14:00 PM,UQ Chancellors Place - Stop B ,14:11 PM,Clarence Road - 36 ,$0.50,,$5.42
 13/Nov/2024,14:27 PM,Indooroopilly station (Touch on Transfer),14:42 PM,Darra station ,$0.00,,$5.42
 14/Nov/2024,7:51 AM,Darra station ,8:01 AM,Sherwood station ,$0.50,,$4.92
 14/Nov/2024,8:44 AM,Auto top up(Sherwood station ),,,,$20.00,$24.92
 14/Nov/2024,8:44 AM,Sherwood station (Touch on Transfer),9:06 AM,Central station ,$0.00,,$24.92
 14/Nov/2024,12:45 PM,Central station ,13:27 PM,Darra station ,$0.50,,$24.42
 21/Nov/2024,5:55 AM,Darra station ,6:54 AM,International Airport station ,$11.45,,$12.97
 18/Dec/2024,6:42 AM,International Airport station ,8:14 AM,Darra station ,$11.45,,$1.52
 17/Jan/2025,20:20 PM,Auto top up(Darra station ),,,,$20.00,$21.52
 17/Jan/2025,20:20 PM,Darra station ,20:41 PM,Toowong station ,$0.50,,$21.02
 17/Jan/2025,23:45 PM,Milton station ,12:28 AM,Darra station ,$0.50,,$20.52
 31/Jan/2025,16:58 PM,Darra station ,17:40 PM,South Brisbane station ,$0.50,,$20.02
 31/Jan/2025,20:34 PM,Milton station ,21:00 PM,Darra station ,$0.50,,$19.52
 02/Feb/2025,10:33 AM,Darra station ,11:04 AM,Roma Street station ,$0.50,,$19.02
 02/Feb/2025,11:07 AM,Roma Street station (Touch on Transfer),Unknown,Failed to touch Off,$2.50,,$16.52
 09/Feb/2025,12:45 PM,'Cribb Street' Coronation Drive ,12:58 PM,UQ Chancellors Place - Stop E ,$0.50,,$16.02
 09/Feb/2025,16:17 PM,UQ Lakes - Stop A ,16:24 PM,PAH Station Platform 1 ,$0.50,,$15.52
 11/Feb/2025,7:36 AM,Darra station ,8:02 AM,Central station ,$0.50,,$15.02
 11/Feb/2025,10:11 AM,City Hall - KGS 2A ,10:27 AM,UQ Lakes - Arrival ,$0.50,,$14.52
 11/Feb/2025,12:25 PM,City Hall - KGS 1D ,Unknown,Failed to touch Off,$2.50,,$12.02
 11/Feb/2025,20:42 PM,Central station ,Unknown,Failed to touch Off,$2.50,,$9.52
 12/Feb/2025,17:48 PM,Darra station ,18:23 PM,Central station ,$0.50,,$9.02
 12/Feb/2025,20:42 PM,Central station ,21:17 PM,Darra station ,$0.50,,$8.52
 13/Feb/2025,8:51 AM,Darra station ,9:25 AM,Central station ,$0.50,,$8.02
 14/Feb/2025,8:49 AM,Darra station ,9:21 AM,Central station ,$0.50,,$7.52
 14/Feb/2025,11:58 AM,Central station ,12:46 PM,Darra station ,$0.50,,$7.02
 19/Feb/2025,7:25 AM,Darra station ,7:35 AM,Indooroopilly station ,$0.50,,$6.52
 19/Feb/2025,7:44 AM,Lambert Road - 35 (Touch on Transfer),7:58 AM,Uni of Qld Arrival Stop ,$0.00,,$6.52
 19/Feb/2025,16:05 PM,UQ Chancellors Place - Stop A ,16:17 PM,Clarence Road - 36 ,$0.50,,$6.02
 19/Feb/2025,16:20 PM,Indooroopilly station (Touch on Transfer),16:43 PM,Darra station ,$0.00,,$6.02
